59500, 0.738, 0.701, 0.542, 0.728, 0.000
60000, 0.793, 0.744, 0.505, 0.755, 0.000
60500, 0.730, 0.731, 0.513, 0.753, 0.000
61000, 0.740, 0.725, 0.471, 0.753, 0.000
61500, 0.770, 0.751, 0.506, 0.765, 0.000
62000, 0.716, 0.704, 0.488, 0.731, 0.000
62500, 0.752, 0.729, 0.517, 0.743, 0.000
63000, 0.716, 0.712, 0.512, 0.724, 0.000
63500, 0.757, 0.716, 0.507, 0.725, 0.000
64000, 0.781, 0.739, 0.523, 0.763, 0.000
64500, 0.766, 0.703, 0.482, 0.744, 0.000
65000, 0.735, 0.685, 0.488, 0.694, 0.000
65500, 0.760, 0.729, 0.499, 0.751, 0.000
66000, 0.767, 0.697, 0.516, 0.720, 0.000
66500, 0.807, 0.771, 0.471, 0.814, 0.000
67000, 0.698, 0.514, 0.537, 0.624, 0.000
67500, 0.642, 0.639, 0.516, 0.643, 0.000
68000, 0.706, 0.601, 0.537, 0.629, 0.000
68500, 0.701, 0.628, 0.503, 0.673, 0.000
69000, 0.685, 0.645, 0.502, 0.707, 0.000
69500, 0.699, 0.683, 0.558, 0.727, 0.000
70000, 0.752, 0.665, 0.544, 0.716, 0.000
70500, 0.737, 0.686, 0.528, 0.703, 0.000
71000, 0.703, 0.646, 0.534, 0.699, 0.000
71500, 0.724, 0.595, 0.519, 0.704, 0.000
72000, 0.708, 0.609, 0.508, 0.680, 0.000
72500, 0.709, 0.655, 0.528, 0.768, 0.000
73000, 0.724, 0.633, 0.517, 0.735, 0.000
73500, 0.754, 0.700, 0.526, 0.730, 0.000
74000, 0.742, 0.724, 0.518, 0.763, 0.000
74500, 0.707, 0.677, 0.517, 0.736, 0.000
75000, 0.735, 0.668, 0.515, 0.719, 0.000
75500, 0.707, 0.643, 0.512, 0.711, 0.000
76000, 0.720, 0.688, 0.504, 0.758, 0.000
76500, 0.735, 0.663, 0.519, 0.738, 0.000
77000, 0.703, 0.692, 0.530, 0.717, 0.000
77500, 0.750, 0.636, 0.515, 0.738, 0.000
78000, 0.741, 0.666, 0.524, 0.743, 0.000
78500, 0.766, 0.732, 0.493, 0.762, 0.000
79000, 0.722, 0.714, 0.518, 0.722, 0.000
79500, 0.760, 0.633, 0.492, 0.705, 0.000
80000, 0.742, 0.698, 0.552, 0.735, 0.000
80500, 0.738, 0.683, 0.522, 0.723, 0.000
81000, 0.738, 0.654, 0.546, 0.750, 0.000
81500, 0.752, 0.700, 0.521, 0.729, 0.000
82000, 0.755, 0.752, 0.534, 0.781, 0.000
82500, 0.748, 0.704, 0.515, 0.736, 0.000
83000, 0.742, 0.661, 0.501, 0.734, 0.000
83500, 0.452, 0.466, 0.407, 0.427, 0.000
84000, 0.735, 0.683, 0.449, 0.432, 0.000
84500, 0.725, 0.676, 0.424, 0.544, 0.000
85000, 0.726, 0.697, 0.402, 0.690, 0.000
85500, 0.687, 0.641, 0.453, 0.649, 0.000
86000, 0.749, 0.723, 0.452, 0.729, 0.000
86500, 0.749, 0.705, 0.398, 0.721, 0.000
87000, 0.762, 0.738, 0.419, 0.755, 0.000
87500, 0.728, 0.691, 0.440, 0.711, 0.000
88000, 0.744, 0.687, 0.440, 0.736, 0.000
88500, 0.756, 0.704, 0.445, 0.721, 0.000
89000, 0.759, 0.737, 0.398, 0.755, 0.000
89500, 0.753, 0.718, 0.440, 0.736, 0.000
90000, 0.727, 0.690, 0.451, 0.708, 0.000
90500, 0.695, 0.662, 0.453, 0.697, 0.000
91000, 0.722, 0.661, 0.461, 0.686, 0.000
91500, 0.672, 0.622, 0.415, 0.724, 0.000
92000, 0.744, 0.667, 0.449, 0.746, 0.000
92500, 0.745, 0.721, 0.437, 0.758, 0.000
93000, 0.729, 0.670, 0.444, 0.692, 0.000
93500, 0.727, 0.650, 0.436, 0.705, 0.000
94000, 0.756, 0.672, 0.425, 0.703, 0.000
94500, 0.733, 0.720, 0.390, 0.739, 0.000
95000, 0.718, 0.676, 0.465, 0.716, 0.000
95500, 0.699, 0.678, 0.449, 0.712, 0.000
96000, 0.765, 0.695, 0.424, 0.727, 0.000
96500, 0.716, 0.698, 0.434, 0.713, 0.000
97000, 0.715, 0.694, 0.417, 0.714, 0.000
97500, 0.688, 0.682, 0.427, 0.697, 0.000
98000, 0.743, 0.700, 0.435, 0.728, 0.000
98500, 0.721, 0.678, 0.426, 0.711, 0.000
99000, 0.770, 0.725, 0.431, 0.723, 0.000
99500, 0.762, 0.730, 0.448, 0.753, 0.000
